equipnum,serialnum,apprtype,owner_name,region_name,substn_name,designation,norm_name,fluidtype,eqp_desc,mfr,year_mfg,model,kv_ratings,mva_ratings,ratedkv,ratedamps,oilpres,cooling,fluidvol,has_filtration,temp_rise,triphase,pct_impedance_hx,external_id,in_service,spare,surveillance,eqp_remarks
10049368,RFP-34653-1,XFMR,,161/69,MADISON,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,WEST,1964,,69,24/32/40,69.000,,INERT GAS-PRESSURE,OA/FA/FA,9860,0,,1,,T-3,1,0,,
10049341,70370-B,LTC,,OLTC,MCCRORY,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1989,RMV,161.7,67.2,161.700,,SEALED,OTHER,150,0,,1,,T-1 LTC,1,0,0,RMV Retrofit
10049341,70370-B,XFMR,,161/69,MCCRORY,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,NAT,1989,,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,9531,0,,1,,T2,1,0,,
10049511,MLL-5343-2,LTC,,OLTC,MCCRORY,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1988,RMV UVT,161.7,67.2,161.700,,DESSICANT-BREATHING,,410,0,,1,,T-3 LTC,1,0,,VACUTAP TAP CHANGER
10049511,MLL-5343-2,XFMR,,161/69,MCCRORY,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,WEST,1988,,161.7,67.2,161.700,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,10400,0,,,,T-3,1,0,,
10049415,D-589470,LTC,,OLTC,METRO CENTER,T2,LTC_NONDIVERTER_A,OIL,SubTranLTC,GE,1966,LRT 65 D2,69,44.8,69.000,,SEALED,,465,0,,1,,T-2 LTC,1,0,,REACTOR IS IN THE MAIN TANK IN A BAFFLE. THE REACTOR SAMPLING VALVE IS AT THE BOTTOM OF THE TAPCHANGER CABINET.
10049415,D-589470,XFMR,,161/69,METRO CENTER,T2,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1966,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7635,0,,1,,T-2,1,0,,
10049415,D-589470,OLTC REACTOR,,OLTC,METRO CENTER,T2,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,1966,LRT 65 D2,69-13.8,44.8,69.000,,INERT GAS-PRESSURE,,100,0,,1,,,1,0,,"The reactor is located in the main tank. The sampling valve is usually located at the bottom of the LTC cabinet. Do not sample this routinely, only for fault analysis location."
10049416,D-589469,LTC,,OLTC,METRO CENTER,T3,LTC_NONDIVERTER_A,OIL,SubTranLTC,GE,1966,LRT 65 D2,69,44.4,69.000,,SEALED,,0,1,,1,,T-3 LTC,1,0,,REACTOR IS IN THE MAIN TANK IN A BAFFLE. THE REACTOR SAMPLING VALVE IS AT THE BOTTOM OF THE TAPCHANGER CABINET.
10049416,D-589469,XFMR,,161/69,METRO CENTER,T3,TRN_IEEE_INC_69KV,OIL,SubTranLTC,GE,1966,,69,44.8,69.000,,INERT GAS-PRESSURE,OA/FA/FA,7635,0,,1,,T-3,1,0,,
10049416,D-589469,OLTC REACTOR,,OLTC,METRO CENTER,T3,TRN_IEEE_INC_69KV,OIL,POWER TRANSFORMER,GE,1966,LRT 65 D2,69-13.8,44.8,69.000,,INERT GAS-PRESSURE,,100,0,,1,,,1,0,,"The reactor is located in the main tank. The sampling valve is usually located at the bottom of the LTC cabinet. Do not sample this routinely, only for fault analysis location."
106813,9699-1,XFMR,,161/69,MOBILE,50MVA REG,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,MOLONEY,1994,,,50,23.900,,INERT GAS-PRESSURE,OA/FA/FOA,1500,0,,1,,,1,0,0,
106813,9699-1,LTC,,OLTC,MOBILE,50MVA REG,LTC_RESISTIVE_A,OIL,SubTranLTC,ASEA,,UZERN,,,23.900,,SEALED,OTHER,0,0,,1,,,1,0,0,
106810,9501-1,XFMR,,161/69,MOBILE,50MVA XFMR,TRN_IEEE_INC_69_288KV,OIL,SubTranNonLTC,MOLONEY,1994,,69,50,161.000,,INERT GAS-PRESSURE,OA/FA/FOA,2720,0,,1,,,0,1,0,
106815,2865784,XFMR,,4kv,MOBILE,5MVA,TRN_IEEE_INC_69KV,OIL,SubTranNonLTC,AC,,,13.8,5,13.200,,SEALED,OA,1026,0,,1,,,1,0,,
10049347,70301-1,LTC,,OLTC,MURFREESBORO RD,T2,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1987,RMV,161.7,67.2,161.700,,DESSICANT-BREATHING,OTHER,0,0,,1,,T-2 LTC,1,0,0,RMV Retrofit
10049347,70301-1,XFMR,,161/69,MURFREESBORO RD,T2,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,FED PAC,1987,,161.7,67.2,161.000,,INERT GAS-PRESSURE,OA/FA/FA,9265,0,,1,,T-2,1,0,,
10049348,MLL-5343-1,LTC,,OLTC,MURFREESBORO RD,T3,LTC_VACUUM_A,OIL,SubTranLTC,REINHAUSEN,1988,RMV UVT,161.7,67.2,161.700,,DESSICANT-BREATHING,,0,0,,1,,T-3 LTC,1,0,,VACUTAP TAP CHANGER
10049348,MLL-5343-1,XFMR,,161/69,MURFREESBORO RD,T3,TRN_IEEE_INC_69_288KV,OIL,SubTranLTC,WEST,1988,SL,161.7,67.2,161.000,,CONSERVATOR/DIAPHRAGM,OA/FA/FA,10400,0,,1,,T-3,1,0,,
141,W290034-0000141,XFMR,,4kv,NASCAR CAFE,Padmount,TRN_IEEE_INC_69KV,OIL,,DELTA STAR,,,,,13.800,,,,0,,,,,,,,,
482,6535916-0000482,XFMR,,4kv,NOELTON #1 4KV,,TRN_IEEE_INC_69KV,OIL,,WESTINGHOUSE,,,,,0.000,,,,0,,,,,T01,,,,
10048874,1-NV-43100,OCB TANK 3,,,NOLENSVILLE RD,F10B,OCB_GENERIC,OIL,TANK 3,WESTINGHOUSE,,,,,23.900,,,,73,,,,,TANK 3,,,,
10048874,1-NV-43100,OCB TANK 1,,,NOLENSVILLE RD,F10B,OCB_GENERIC,OIL,TANK 1,WESTINGHOUSE,,,,,23.900,,,,73,,,,,TANK 1,,,,
10048874,1-NV-43100,OCB TANK 2,,,NOLENSVILLE RD,F10B,OCB_GENERIC,OIL,TANK 2,WESTINGHOUSE,,,,,23.900,,,,73,,,,,TANK 2,,,,
10048873,2-NV-43100,OCB TANK 1,,,NOLENSVILLE RD,F8B,OCB_GENERIC,OIL,TANK 1,WESTINGHOUSE,,,,,23.000,,,,73,,,,,TANK #1,,,,
